Date,Total
1/1/2000,25412
2/1/2000,25354
3/1/2000,29161
4/1/2000,24924
5/1/2000,24763
6/1/2000,25342
7/1/2000,24911
8/1/2000,25847
9/1/2000,23743
10/1/2000,25036
11/1/2000,21911
12/1/2000,20752
1/1/2001,24507
2/1/2001,25968
3/1/2001,28752
4/1/2001,25167
5/1/2001,24728
6/1/2001,23690
7/1/2001,24816
8/1/2001,26004
9/1/2001,24210
10/1/2001,25083
11/1/2001,21807
12/1/2001,21635
1/1/2002,27173
2/1/2002,29308
3/1/2002,28645
4/1/2002,25023
5/1/2002,27261
6/1/2002,24670
7/1/2002,26441
8/1/2002,27961
9/1/2002,26498
10/1/2002,27800
11/1/2002,23939
12/1/2002,22930
1/1/2003,27584
2/1/2003,27586
3/1/2003,30485
4/1/2003,26135
5/1/2003,27370
6/1/2003,25487
7/1/2003,26427
8/1/2003,27672
9/1/2003,26853
10/1/2003,27875
11/1/2003,23416
12/1/2003,22482
1/1/2004,27140
2/1/2004,28526
3/1/2004,28845
4/1/2004,25033
5/1/2004,24764
6/1/2004,24896
7/1/2004,24623
8/1/2004,26538
9/1/2004,24674
10/1/2004,25863
11/1/2004,23156
12/1/2004,22721
1/1/2005,26204
2/1/2005,26526
3/1/2005,27473
4/1/2005,24536
5/1/2005,25764
6/1/2005,25154
7/1/2005,23729
8/1/2005,25336
9/1/2005,24649
10/1/2005,25904
11/1/2005,22868
12/1/2005,21825
1/1/2006,26955
2/1/2006,27349
3/1/2006,29367
4/1/2006,24071
5/1/2006,23173
6/1/2006,21740
7/1/2006,22056
8/1/2006,23923
9/1/2006,22189
10/1/2006,22458
11/1/2006,19476
12/1/2006,21056
1/1/2007,22842
2/1/2007,22943
3/1/2007,23445
4/1/2007,19176
5/1/2007,22058
6/1/2007,19451
7/1/2007,20378
8/1/2007,21778
9/1/2007,20431
10/1/2007,22486
11/1/2007,18889
12/1/2007,18574
1/1/2008,24658
2/1/2008,24997
3/1/2008,23987
4/1/2008,21199
5/1/2008,21205
6/1/2008,21553
7/1/2008,21166
8/1/2008,20720
9/1/2008,18067
10/1/2008,21121
11/1/2008,16617
12/1/2008,15917
1/1/2009,19262
2/1/2009,20658
3/1/2009,22660
4/1/2009,20147
5/1/2009,18818
6/1/2009,19017
7/1/2009,19451
8/1/2009,18502
9/1/2009,18893
10/1/2009,19480
11/1/2009,15743
12/1/2009,16554
1/1/2010,19465
2/1/2010,22617
3/1/2010,22438
4/1/2010,18511
5/1/2010,19142
6/1/2010,19063
7/1/2010,18006
8/1/2010,20386
9/1/2010,20280
10/1/2010,18894
11/1/2010,15941
12/1/2010,16851
1/1/2011,18204
2/1/2011,15564
3/1/2011,17984
4/1/2011,13979
5/1/2011,12591
6/1/2011,12408
7/1/2011,12779
8/1/2011,14233
9/1/2011,13410
10/1/2011,12893
11/1/2011,11843
12/1/2011,11321
1/1/2012,13427
2/1/2012,14447
3/1/2012,14717
4/1/2012,11998
5/1/2012,13379
6/1/2012,12463
7/1/2012,13276
8/1/2012,14442
9/1/2012,13422
10/1/2012,13795
11/1/2012,13352
12/1/2012,12716
