Date,Total
1/1/1986,9034
2/1/1986,9596
3/1/1986,10558
4/1/1986,9002
5/1/1986,9239
6/1/1986,8951
7/1/1986,9668
8/1/1986,10188
9/1/1986,9896
10/1/1986,10649
11/1/1986,8917
12/1/1986,8196
1/1/1987,10768
2/1/1987,12220
3/1/1987,14463
4/1/1987,12944
5/1/1987,11001
6/1/1987,11000
7/1/1987,11876
8/1/1987,13021
9/1/1987,13494
10/1/1987,14041
11/1/1987,11312
12/1/1987,10362
1/1/1988,12533
2/1/1988,14343
3/1/1988,14676
4/1/1988,12253
5/1/1988,11840
6/1/1988,12018
7/1/1988,11819
8/1/1988,12453
9/1/1988,12309
10/1/1988,13005
11/1/1988,11815
12/1/1988,10496
1/1/1989,13996
2/1/1989,15158
3/1/1989,15587
4/1/1989,14615
5/1/1989,14792
6/1/1989,14373
7/1/1989,14573
8/1/1989,14385
9/1/1989,15607
10/1/1989,15978
11/1/1989,14436
12/1/1989,12794
1/1/1990,15771
2/1/1990,16476
3/1/1990,16420
4/1/1990,15444
5/1/1990,16118
6/1/1990,15158
7/1/1990,15214
8/1/1990,16257
9/1/1990,15287
10/1/1990,15212
11/1/1990,13488
12/1/1990,12300
1/1/1991,15794
2/1/1991,17113
3/1/1991,17536
4/1/1991,15914
5/1/1991,16716
6/1/1991,15983
7/1/1991,16878
8/1/1991,17893
9/1/1991,16697
10/1/1991,18546
11/1/1991,15486
12/1/1991,15253
1/1/1992,18698
2/1/1992,21100
3/1/1992,22425
4/1/1992,19923
5/1/1992,19454
6/1/1992,18874
7/1/1992,19676
8/1/1992,19559
9/1/1992,19500
10/1/1992,19615
11/1/1992,16814
12/1/1992,15698
1/1/1993,20273
2/1/1993,20774
3/1/1993,21309
4/1/1993,19377
5/1/1993,19211
6/1/1993,19103
7/1/1993,20086
8/1/1993,19758
9/1/1993,19162
10/1/1993,19371
11/1/1993,17709
12/1/1993,17342
1/1/1994,18772
2/1/1994,19363
3/1/1994,20001
4/1/1994,17112
5/1/1994,18027
6/1/1994,17173
7/1/1994,18024
8/1/1994,18983
9/1/1994,17983
10/1/1994,19151
11/1/1994,16427
12/1/1994,15461
1/1/1995,19191
2/1/1995,20008
3/1/1995,21702
4/1/1995,18649
5/1/1995,19169
6/1/1995,18631
7/1/1995,18157
8/1/1995,20187
9/1/1995,18660
10/1/1995,19920
11/1/1995,16680
12/1/1995,16018
1/1/1996,20322
2/1/1996,20613
3/1/1996,22704
4/1/1996,20276
5/1/1996,20669
6/1/1996,18074
7/1/1996,18719
8/1/1996,20217
9/1/1996,19642
10/1/1996,20842
11/1/1996,18204
12/1/1996,16898
1/1/1997,20746
2/1/1997,23058
3/1/1997,24624
4/1/1997,22154
5/1/1997,22444
6/1/1997,21471
7/1/1997,21866
8/1/1997,22548
9/1/1997,21518
10/1/1997,23408
11/1/1997,19645
12/1/1997,18278
1/1/1998,23576
2/1/1998,26650
3/1/1998,26207
4/1/1998,23195
5/1/1998,22960
6/1/1998,23002
7/1/1998,22973
8/1/1998,24089
9/1/1998,22805
10/1/1998,23241
11/1/1998,21581
12/1/1998,21119
1/1/1999,23107
2/1/1999,25780
3/1/1999,28544
4/1/1999,23488
5/1/1999,23964
6/1/1999,23720
7/1/1999,25069
8/1/1999,24618
9/1/1999,24430
10/1/1999,25229
11/1/1999,22344
12/1/1999,22372
