Date,Weight
1/1/1986,903.40
2/1/1986,959.60
3/1/1986,1055.80
4/1/1986,900.20
5/1/1986,923.90
6/1/1986,895.10
7/1/1986,966.80
8/1/1986,1018.80
9/1/1986,989.60
10/1/1986,1064.90
11/1/1986,891.70
12/1/1986,819.60
1/1/1987,1076.80
2/1/1987,1222.00
3/1/1987,1446.30
4/1/1987,1294.40
5/1/1987,1100.10
6/1/1987,1100.00
7/1/1987,1187.60
8/1/1987,1302.10
9/1/1987,1349.40
10/1/1987,1404.10
11/1/1987,1131.20
12/1/1987,1036.20
1/1/1988,1253.30
2/1/1988,1434.30
3/1/1988,1467.60
4/1/1988,1225.30
5/1/1988,1184.00
6/1/1988,1201.80
7/1/1988,1181.90
8/1/1988,1245.30
9/1/1988,1230.90
10/1/1988,1300.50
11/1/1988,1181.50
12/1/1988,1049.60
1/1/1989,1399.60
2/1/1989,1515.80
3/1/1989,1558.70
4/1/1989,1461.50
5/1/1989,1479.20
6/1/1989,1437.30
7/1/1989,1457.30
8/1/1989,1438.50
9/1/1989,1560.70
10/1/1989,1597.80
11/1/1989,1443.60
12/1/1989,1279.40
1/1/1990,1577.10
2/1/1990,1647.60
3/1/1990,1642.00
4/1/1990,1544.40
5/1/1990,1611.80
6/1/1990,1515.80
7/1/1990,1521.40
8/1/1990,1625.70
9/1/1990,1528.70
10/1/1990,1521.20
11/1/1990,1348.80
12/1/1990,1230.00
1/1/1991,1579.40
2/1/1991,1711.30
3/1/1991,1753.60
4/1/1991,1591.40
5/1/1991,1671.60
6/1/1991,1598.30
7/1/1991,1687.80
8/1/1991,1789.30
9/1/1991,1669.70
10/1/1991,1854.60
11/1/1991,1548.60
12/1/1991,1525.30
1/1/1992,1869.80
2/1/1992,2110.00
3/1/1992,2242.50
4/1/1992,1992.30
5/1/1992,1945.40
6/1/1992,1887.40
7/1/1992,1967.60
8/1/1992,1955.90
9/1/1992,1950.00
10/1/1992,1961.50
11/1/1992,1681.40
12/1/1992,1569.80
1/1/1993,2027.30
2/1/1993,2077.40
3/1/1993,2130.90
4/1/1993,1937.70
5/1/1993,1921.10
6/1/1993,1910.30
7/1/1993,2008.60
8/1/1993,1975.80
9/1/1993,1916.20
10/1/1993,1937.10
11/1/1993,1770.90
12/1/1993,1734.20
1/1/1994,1877.20
2/1/1994,1936.30
